mission,id,name,disposition,period_days,radius_re,snr
Kepler,10797460,Kepler-227 b,CONFIRMED,9.48803557,2.26,35.8
Kepler,10797460,Kepler-227 c,CONFIRMED,54.4183827,2.83,25.8
Kepler,10811496,,CANDIDATE,19.89913995,14.6,76.3
Kepler,10848459,,FALSE POSITIVE,1.736952453,33.46,505.6
Kepler,10854555,Kepler-664 b,CONFIRMED,2.525591777,2.75,40.9
Kepler,10872983,Kepler-228 d,CONFIRMED,11.09432054,3.9,66.5
Kepler,10872983,Kepler-228 c,CONFIRMED,4.13443512,2.77,40.2
Kepler,10872983,Kepler-228 b,CONFIRMED,2.56658897,1.59,15
Kepler,6721123,,FALSE POSITIVE,7.36178958,39.21,47.7
Kepler,10910878,Kepler-229 c,CONFIRMED,16.06864674,5.76,161.9
Kepler,11446443,Kepler-1 b,CONFIRMED,2.470613377,13.04,4304.3
Kepler,10666592,Kepler-2 b,CONFIRMED,2.204735417,16.1,5945.9
Kepler,6922244,Kepler-8 b,CONFIRMED,3.522498429,14.59,1741.5
Kepler,10984090,Kepler-466 c,CONFIRMED,3.709214104,1.16,50.6
Kepler,10419211,,FALSE POSITIVE,11.521446064,150.51,622.1
Kepler,10464078,,FALSE POSITIVE,19.40393776,7.18,214.7
Kepler,10480982,,FALSE POSITIVE,19.221388942,49.29,2317
Kepler,10485250,,FALSE POSITIVE,16.46983774,7.94,303.4
Kepler,10526549,Kepler-660 b,CONFIRMED,9.27358173,2.47,87.2
Kepler,10583066,Kepler-661 b,CONFIRMED,6.02930329,2.85,65.4
Kepler,10583180,,FALSE POSITIVE,2.696370652,1.58,48.2
Kepler,10601284,Kepler-226 c,CONFIRMED,5.349553819,2.55,60.6
Kepler,10601284,Kepler-226 b,CONFIRMED,3.94105221,1.7,28.9
Kepler,10601284,Kepler-226 d,CONFIRMED,8.10904807,1.3,14.1
Kepler,2306756,,FALSE POSITIVE,386.6030528,41.5,994
Kepler,10662202,Kepler-662 b,CONFIRMED,21.67699193,2.95,34.3
Kepler,10682541,Kepler-663 b,CONFIRMED,4.99677968,2.78,28.2
Kepler,11460018,Kepler-671 b,CONFIRMED,4.280963604,2.3,61.8
Kepler,11463211,,FALSE POSITIVE,1.50635409,4.53,181.1
Kepler,11465813,,FALSE POSITIVE,670.645531,14.14,642.7
Kepler,11493732,,FALSE POSITIVE,61.2563628,39.87,85.3
Kepler,11507101,Kepler-672 b,CONFIRMED,38.3775486,2.82,34.7
Kepler,10910878,Kepler-229 d,CONFIRMED,41.19725502,3.86,51.2
Kepler,10910878,Kepler-229 b,CONFIRMED,6.252962249,2.65,47.1
Kepler,10987985,Kepler-665 b,CONFIRMED,16.01308419,3.1,33.2
Kepler,11018648,Kepler-230 b,CONFIRMED,32.62876672,3.36,80
Kepler,11018648,Kepler-230 c,CONFIRMED,91.7732862,2.12,19.1
Kepler,11138155,Kepler-1976 b,CONFIRMED,4.959319244,12.21,696.5
Kepler,11152159,,FALSE POSITIVE,2.701287801,6.54,48.3
Kepler,11153539,Kepler-666 b,CONFIRMED,4.49876511,2.1,29.5
Kepler,11242721,,FALSE POSITIVE,19.651209505,12.42,513.4
Kepler,9579641,Kepler-105 b,CONFIRMED,5.412203927,2.94,166.7
Kepler,11304958,Kepler-667 b,CONFIRMED,41.43958662,5.5,141.1
Kepler,11391957,Kepler-668 b,CONFIRMED,8.35389523,2.52,43.4
Kepler,11403044,Kepler-669 b,CONFIRMED,4.125543472,4.43,128.6
Kepler,11414511,Kepler-670 b,CONFIRMED,2.816504904,12.21,1406.8
Kepler,11442465,,FALSE POSITIVE,33.93373447,7.34,236.1
Kepler,12110942,Kepler-680 b,CONFIRMED,3.689920099,1.89,35.6
