mission,id,name,disposition,period_days,radius_re,snr
TESS,16288184,1049.01,KP,2.18052771325924,16.808853048342,
TESS,144065872,105.01,KP,2.18466694872065,13.702852670325,
TESS,66818296,1050.01,KP,3.7354838,21.2315,
TESS,259863352,1051.01,FA,21.7016689605131,2.37514938426918,
TESS,317060587,1052.01,CP,9.13980396599197,3.06298549735975,
TESS,112395568,1053.01,FP,5.742625,13.088532,
TESS,366989877,1054.01,CP,15.5077855,2.43432,
TESS,320004517,1055.01,CP,17.4713078237805,3.57668278261345,
TESS,421894914,1056.01,PC,5.30795065970583,3.04869279281879,
TESS,323132914,1057.01,PC,51.1701500609708,2.93668262503631,
TESS,31553893,1058.01,PC,11.129644103681,12.8402270580015,
TESS,380783252,1059.01,PC,9.4496506,17.0216,
TESS,38846515,106.01,KP,2.8493825,16.3869,
TESS,101230735,1060.01,APC,2.0685633,3.89739,
TESS,253990973,1061.01,FP,0.540933,2.28501,
TESS,299799658,1062.01,CP,4.1150576,2.30057,
TESS,406976746,1063.01,PC,10.0665237771372,2.72728240824734,
TESS,79748331,1064.01,CP,6.44386574740406,2.46034402739473,
TESS,79748331,1064.02,CP,12.2265595188652,2.60147660299434,
TESS,7088246,1065.01,KP,2.160344,22.503541,
TESS,201604954,1066.01,KP,4.606184,12.962219,
TESS,201642601,1067.01,KP,3.13167354483516,9.49951911724004,
TESS,6663331,1068.01,KP,3.180362,13.446487,
TESS,31858843,1069.01,KP,2.9776446,14.4339,
TESS,92352620,107.01,KP,3.9502008,20.5357,
TESS,31858844,1070.01,FP,2.97761517335173,26.88423,
TESS,120247528,1071.01,KP,3.55440260067743,13.2006769754398,
TESS,140830390,1072.01,FP,12.8379689423837,25.488638240544,
TESS,158297421,1073.01,CP,3.92280161106811,13.3368704777654,
TESS,327301957,1074.01,PC,13.9428704633619,2.42334211354347,
TESS,351601843,1075.01,CP,0.604739240679989,1.86255872685732,
TESS,360742636,1076.01,KP,2.54956107674285,12.917128828952,
TESS,369960846,1077.01,PC,1.60626933707657,12.6436029488226,
TESS,370133522,1078.01,CP,0.518242460936129,1.34851205589838,
TESS,50365310,1000.01,FP,2.17134838715744,5.81816333930811,
TESS,88863718,1001.01,PC,1.9316462,11.2154,
TESS,124709665,1002.01,FP,1.8675574,23.7529,
TESS,106997505,1003.01,FP,2.74323,,
TESS,238597883,1004.01,FP,3.5730141,11.3113,
TESS,169904935,1005.01,FP,4.5505945,7.10841,
TESS,156115721,1006.01,FP,2.50479182514848,8.69508981791117,
TESS,65212867,1007.01,PC,6.9989206,14.7752,
TESS,440801822,1008.01,FP,2.0483755,3.19621,
TESS,107782586,1009.01,PC,1.96002767390881,,
TESS,231663901,101.01,KP,1.43036994965074,13.1874503075824,
TESS,139853601,1010.01,FP,0.680870199603779,5.91159082638023,
TESS,114018671,1011.01,PC,2.4704981,1.44656,
TESS,427508467,1012.01,APC,0.884182,24.8132,
TESS,97700520,1013.01,FP,5.42555479046561,,
TESS,96246348,1014.01,FP,1.40951841053404,,
TESS,155044736,1015.01,FP,1.37304663334161,42.1479417388376,
TESS,175310067,1016.01,FP,12.6889414936027,14.0608342049633,
TESS,182943944,1017.01,FP,1.10422,21.0448,
TESS,291555748,1018.01,FP,4.95912,22.9123,
TESS,341420329,1019.01,PC,5.23410075833135,24.2931407927796,
TESS,149603524,102.01,KP,4.4119378,15.4706,
TESS,140706664,1020.01,FP,3.28892,,
TESS,143994283,1021.01,FP,1.90879,3.34688,
TESS,47384844,1022.01,FA,3.09574,3.4262,
TESS,238374636,1023.01,FP,1.3214483,21.8839,
TESS,141482386,1024.01,FP,18.0157,21.644,
TESS,297967252,1025.01,PC,9.68379213790247,,
TESS,388624270,1026.01,FP,14.262875663487,2.47658131332353,
TESS,20318757,1027.01,PC,3.2834565,2.87648,
TESS,20318757,1027.02,PC,11.02875,2.76586,
TESS,20318757,1027.03,PC,5.0113292,2.52314,
TESS,447283466,1028.01,FP,1.01606,1.20704,
TESS,374908020,1029.01,FP,36.22214,,
TESS,336732616,103.01,KP,3.547854,14.581841,
TESS,464296022,1030.01,FP,12.1246519,17.6729,
TESS,304021498,1031.01,FP,5.652623,8.94354,
TESS,146589986,1032.01,PC,5.66437044019291,14.7738943284418,
TESS,149601557,1033.01,FP,29.0160175,6.77406,
TESS,400595342,1034.01,FP,3.64043893252152,3.70253419444605,
TESS,361413119,1035.01,PC,6.07444769856783,30.9493216524453,
TESS,146172354,1036.01,PC,3.7795212,5.98375,
TESS,363260203,1037.01,FP,1.2025238,6.31106,
TESS,90544017,1038.01,FP,3.2235985,5.51341,
TESS,461867584,1039.01,APC,4.420125,,
TESS,231670397,104.01,KP,4.0872956,13.6237731764604,
TESS,310483807,1040.01,FP,2.55555,11.5901,
TESS,385624852,1041.01,FP,8.30792,43.1068,
TESS,360286627,1042.01,PC,0.75808196801374,10.1273702333649,
TESS,90448944,1043.01,FP,1.4415577,3.61078,
TESS,463402815,1044.01,PC,1.0085089,,
TESS,54044474,1045.01,FP,3.7039994,17.57,
